model,MAE,RMSE,MAPE
NaiveModel,204.08333333333331,251.163733130546,21.604627999856515
SeasonalNaiveModel,125.9325396825397,158.4187643060956,15.836826871635703
MovingAverageModel,150.11519274376414,185.32236633819142,17.668084402860373
ARIMAModel,124.95224812559925,153.32073780276863,13.507046143291962
XGBoostModel,167.7621315192744,205.7264352359422,19.25807026106725
